,NAME,STABREV,number_uninsured,percent_uninsured,RACECAT,race_category,time,state,highlight
1,Alabama,AL,600542,0.153,0,All Races,2008,01,0
5,Alaska,AK,128812,0.205,0,All Races,2008,02,0
9,Arizona,AZ,1138508,0.205,0,All Races,2008,04,0
13,Arkansas,AR,472500,0.198,0,All Races,2008,05,0
17,California,CA,6166623,0.192,0,All Races,2008,06,0
21,Colorado,CO,785439,0.18100000000000002,0,All Races,2008,08,0
25,Connecticut,CT,298164,0.10099999999999999,0,All Races,2008,09,0
29,Delaware,DE,85208,0.11699999999999999,0,All Races,2008,10,0
33,District of Columbia,DC,42390,0.086,0,All Races,2008,11,0
37,Florida,FL,3581341,0.242,0,All Races,2008,12,0
41,Georgia,GA,1700333,0.201,0,All Races,2008,13,0
45,Hawaii,HI,85490,0.077,0,All Races,2008,15,0
49,Idaho,ID,250615,0.191,0,All Races,2008,16,0
53,Illinois,IL,1542646,0.139,0,All Races,2008,17,0
57,Indiana,IN,817222,0.151,0,All Races,2008,18,0
61,Iowa,IA,248020,0.1,0,All Races,2008,19,0
65,Kansas,KS,305209,0.128,0,All Races,2008,20,0
69,Kentucky,KY,542705,0.15,0,All Races,2008,21,0
73,Louisiana,LA,732996,0.195,0,All Races,2008,22,0
77,Maine,ME,131753,0.121,0,All Races,2008,23,0
81,Maryland,MD,596241,0.12300000000000001,0,All Races,2008,24,0
85,Massachusetts,MA,240442,0.044000000000000004,0,All Races,2008,25,2
89,Michigan,MI,1054990,0.124,0,All Races,2008,26,0
93,Minnesota,MN,423662,0.095,0,All Races,2008,27,0
97,Mississippi,MS,479108,0.193,0,All Races,2008,28,0
101,Missouri,MO,711271,0.14300000000000002,0,All Races,2008,29,0
105,Montana,MT,166021,0.204,0,All Races,2008,30,0
109,Nebraska,NE,184040,0.122,0,All Races,2008,31,0
113,Nevada,NV,529094,0.23199999999999998,0,All Races,2008,32,0
117,New Hampshire,NH,134877,0.121,0,All Races,2008,33,0
121,New Jersey,NJ,1017136,0.13699999999999998,0,All Races,2008,34,0
125,New Mexico,NM,404763,0.239,0,All Races,2008,35,1
129,New York,NY,2156461,0.131,0,All Races,2008,36,0
133,North Carolina,NC,1361040,0.174,0,All Races,2008,37,0
137,North Dakota,ND,61607,0.11599999999999999,0,All Races,2008,38,0
