,NAME,percent_uninsured,time,Location,expanded_medicaid,highlight1,highlight2,highlight3,highlight4,highlight5,highlight6
0,Alabama,15.299999999999999,2008,Alabama,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
1,Alabama,15.8,2009,Alabama,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
2,Alabama,16.9,2010,Alabama,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
3,Alabama,16.6,2011,Alabama,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
4,Alabama,15.8,2012,Alabama,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
5,Alabama,15.9,2013,Alabama,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
6,Alabama,14.2,2014,Alabama,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
7,Alabama,11.9,2015,Alabama,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
8,Alabama,10.8,2016,Alabama,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
9,Alabama,11.0,2017,Alabama,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
10,Alabama,11.9,2018,Alabama,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
11,Alaska,20.5,2008,Alaska,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
12,Alaska,22.7,2009,Alaska,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
13,Alaska,21.4,2010,Alaska,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
14,Alaska,21.7,2011,Alaska,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
15,Alaska,22.3,2012,Alaska,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
16,Alaska,20.8,2013,Alaska,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
17,Alaska,19.0,2014,Alaska,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
18,Alaska,16.3,2015,Alaska,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
19,Alaska,15.5,2016,Alaska,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
20,Alaska,14.800000000000002,2017,Alaska,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
21,Alaska,13.900000000000002,2018,Alaska,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
22,Arizona,20.5,2008,Arizona,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
23,Arizona,19.9,2009,Arizona,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
24,Arizona,19.3,2010,Arizona,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
